Generated by http://statistics.gov.scot,2020-09-15T08:56:14+00:00
http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries,Population Estimates (Current Geographic Boundaries)
Reference Period,2018
Age,All
Sex,All
Measure (cell values): ,Count(People)

,,http://statistics.gov.scot/def/measure-properties/count
http://statistics.gov.scot/id/statistical-geography/S01013403,"Bathgate, Wester Inch and Inchcross - 04",951
http://statistics.gov.scot/id/statistical-geography/S01013404,"Bathgate, Wester Inch and Inchcross - 05",601
http://statistics.gov.scot/id/statistical-geography/S01009899,Battlefield - 01,809
http://statistics.gov.scot/id/statistical-geography/S01009900,Battlefield - 02,849
http://statistics.gov.scot/id/statistical-geography/S01009901,Battlefield - 03,903
http://statistics.gov.scot/id/statistical-geography/S01009902,Battlefield - 04,863
http://statistics.gov.scot/id/statistical-geography/S01009903,Battlefield - 05,827
http://statistics.gov.scot/id/statistical-geography/S01009904,Battlefield - 06,872
http://statistics.gov.scot/id/statistical-geography/S01007733,Baxter Park - 01,864
http://statistics.gov.scot/id/statistical-geography/S01007734,Baxter Park - 02,842
http://statistics.gov.scot/id/statistical-geography/S01007735,Baxter Park - 03,803
http://statistics.gov.scot/id/statistical-geography/S01007736,Baxter Park - 04,733
http://statistics.gov.scot/id/statistical-geography/S01009412,Beath South West,842
http://statistics.gov.scot/id/statistical-geography/S01009410,Beath Woodend,818
http://statistics.gov.scot/id/statistical-geography/S01009595,Beechwood,455
http://statistics.gov.scot/id/statistical-geography/S01011352,Beith East and Rural - 01,644
http://statistics.gov.scot/id/statistical-geography/S01011353,Beith East and Rural - 02,630
http://statistics.gov.scot/id/statistical-geography/S01011354,Beith East and Rural - 03,715
http://statistics.gov.scot/id/statistical-geography/S01011355,Beith East and Rural - 04,937
http://statistics.gov.scot/id/statistical-geography/S01011356,Beith East and Rural - 05,976
http://statistics.gov.scot/id/statistical-geography/S01011348,Beith West - 01,888
http://statistics.gov.scot/id/statistical-geography/S01011349,Beith West - 02,864
http://statistics.gov.scot/id/statistical-geography/S01011350,Beith West - 03,632
http://statistics.gov.scot/id/statistical-geography/S01011351,Beith West - 04,687
http://statistics.gov.scot/id/statistical-geography/S01007968,Bellfield and Kirkstyle - 01,905
http://statistics.gov.scot/id/statistical-geography/S01007969,Bellfield and Kirkstyle - 02,801
http://statistics.gov.scot/id/statistical-geography/S01007970,Bellfield and Kirkstyle - 03,794
http://statistics.gov.scot/id/statistical-geography/S01007971,Bellfield and Kirkstyle - 04,879
http://statistics.gov.scot/id/statistical-geography/S01007972,Bellfield and Kirkstyle - 05,789
http://statistics.gov.scot/id/statistical-geography/S01011528,Bellshill Central - 01,915
http://statistics.gov.scot/id/statistical-geography/S01011529,Bellshill Central - 02,553
http://statistics.gov.scot/id/statistical-geography/S01011530,Bellshill Central - 03,885
http://statistics.gov.scot/id/statistical-geography/S01011531,Bellshill Central - 04,1067
http://statistics.gov.scot/id/statistical-geography/S01011519,Bellshill South - 01,709
http://statistics.gov.scot/id/statistical-geography/S01011520,Bellshill South - 02,586
http://statistics.gov.scot/id/statistical-geography/S01011521,Bellshill South - 03,967
http://statistics.gov.scot/id/statistical-geography/S01011522,Bellshill South - 04,858
http://statistics.gov.scot/id/statistical-geography/S01011523,Bellshill South - 05,757
http://statistics.gov.scot/id/statistical-geography/S01011524,Bellshill South - 06,803
http://statistics.gov.scot/id/statistical-geography/S01013263,"Bellsquarry, Adambrae and Kirkton - 01",563
http://statistics.gov.scot/id/statistical-geography/S01013264,"Bellsquarry, Adambrae and Kirkton - 02",502
http://statistics.gov.scot/id/statistical-geography/S01013265,"Bellsquarry, Adambrae and Kirkton - 03",688
http://statistics.gov.scot/id/statistical-geography/S01013266,"Bellsquarry, Adambrae and Kirkton - 04",571
http://statistics.gov.scot/id/statistical-geography/S01013267,"Bellsquarry, Adambrae and Kirkton - 05",570
http://statistics.gov.scot/id/statistical-geography/S01013268,"Bellsquarry, Adambrae and Kirkton - 06",829
http://statistics.gov.scot/id/statistical-geography/S01013269,"Bellsquarry, Adambrae and Kirkton - 07",1072
http://statistics.gov.scot/id/statistical-geography/S01009325,Bellyeoman North and Townhill Landward,763
http://statistics.gov.scot/id/statistical-geography/S01009320,Bellyeoman South,689
http://statistics.gov.scot/id/statistical-geography/S01009303,Bellyeoman South West,867
http://statistics.gov.scot/id/statistical-geography/S01012466,Belmont - 01,806
http://statistics.gov.scot/id/statistical-geography/S01012467,Belmont - 02,642
http://statistics.gov.scot/id/statistical-geography/S01012468,Belmont - 03,742
http://statistics.gov.scot/id/statistical-geography/S01012469,Belmont - 04,736
http://statistics.gov.scot/id/statistical-geography/S01012470,Belmont - 05,943
http://statistics.gov.scot/id/statistical-geography/S01012471,Belmont - 06,839
http://statistics.gov.scot/id/statistical-geography/S01012472,Belmont - 07,697
http://statistics.gov.scot/id/statistical-geography/S01009019,Benbecula and North Uist - 01,522
http://statistics.gov.scot/id/statistical-geography/S01009020,Benbecula and North Uist - 02,800
http://statistics.gov.scot/id/statistical-geography/S01009021,Benbecula and North Uist - 03,691
http://statistics.gov.scot/id/statistical-geography/S01009022,Benbecula and North Uist - 04,883
http://statistics.gov.scot/id/statistical-geography/S01007301,Benderloch Trail - 01,960
http://statistics.gov.scot/id/statistical-geography/S01007302,Benderloch Trail - 02,593
http://statistics.gov.scot/id/statistical-geography/S01007303,Benderloch Trail - 03,993
http://statistics.gov.scot/id/statistical-geography/S01007304,Benderloch Trail - 04,648
http://statistics.gov.scot/id/statistical-geography/S01007305,Benderloch Trail - 05,716
http://statistics.gov.scot/id/statistical-geography/S01007306,Benderloch Trail - 06,742
http://statistics.gov.scot/id/statistical-geography/S01007307,Benderloch Trail - 07,891
http://statistics.gov.scot/id/statistical-geography/S01009482,Bennochy Balfour,615
http://statistics.gov.scot/id/statistical-geography/S01009483,Bennochy East,632
http://statistics.gov.scot/id/statistical-geography/S01009481,Bennochy North,862
http://statistics.gov.scot/id/statistical-geography/S01009485,Bennochy South West,800
http://statistics.gov.scot/id/statistical-geography/S01009488,Bennochy West,706
http://statistics.gov.scot/id/statistical-geography/S01009297,Beveridgewell East,790
http://statistics.gov.scot/id/statistical-geography/S01009295,Beveridgewell West,592
http://statistics.gov.scot/id/statistical-geography/S01009296,Beveridgewell Western and Parkneuk,467
http://statistics.gov.scot/id/statistical-geography/S01012574,"Biggar, Symington, Thankerton and Dolphinton - 01",906
http://statistics.gov.scot/id/statistical-geography/S01012575,"Biggar, Symington, Thankerton and Dolphinton - 02",656
http://statistics.gov.scot/id/statistical-geography/S01012576,"Biggar, Symington, Thankerton and Dolphinton - 03",788
http://statistics.gov.scot/id/statistical-geography/S01012577,"Biggar, Symington, Thankerton and Dolphinton - 04",1030
http://statistics.gov.scot/id/statistical-geography/S01012578,"Biggar, Symington, Thankerton and Dolphinton - 05",988
http://statistics.gov.scot/id/statistical-geography/S01012579,"Biggar, Symington, Thankerton and Dolphinton - 06",755
http://statistics.gov.scot/id/statistical-geography/S01012580,"Biggar, Symington, Thankerton and Dolphinton - 07",746
http://statistics.gov.scot/id/statistical-geography/S01008712,"Bingham, Magdalene and The Christians - 01",1154
http://statistics.gov.scot/id/statistical-geography/S01008713,"Bingham, Magdalene and The Christians - 02",635
http://statistics.gov.scot/id/statistical-geography/S01008714,"Bingham, Magdalene and The Christians - 03",580
http://statistics.gov.scot/id/statistical-geography/S01008715,"Bingham, Magdalene and The Christians - 04",762
http://statistics.gov.scot/id/statistical-geography/S01008716,"Bingham, Magdalene and The Christians - 05",564
http://statistics.gov.scot/id/statistical-geography/S01012324,Birgham and Ladykirk Area,895
http://statistics.gov.scot/id/statistical-geography/S01011546,Birkenshaw - 01,675
http://statistics.gov.scot/id/statistical-geography/S01011547,Birkenshaw - 02,601
http://statistics.gov.scot/id/statistical-geography/S01011548,Birkenshaw - 03,770
http://statistics.gov.scot/id/statistical-geography/S01011549,Birkenshaw - 04,752
http://statistics.gov.scot/id/statistical-geography/S01011550,Birkenshaw - 05,691
http://statistics.gov.scot/id/statistical-geography/S01011551,Birkenshaw - 06,530
http://statistics.gov.scot/id/statistical-geography/S01011552,Birkenshaw - 07,651
http://statistics.gov.scot/id/statistical-geography/S01012995,"Birniehill, Kelvin and Whitehills East - 01",706
http://statistics.gov.scot/id/statistical-geography/S01012996,"Birniehill, Kelvin and Whitehills East - 02",578
http://statistics.gov.scot/id/statistical-geography/S01012997,"Birniehill, Kelvin and Whitehills East - 03",458
http://statistics.gov.scot/id/statistical-geography/S01012998,"Birniehill, Kelvin and Whitehills East - 04",983
http://statistics.gov.scot/id/statistical-geography/S01012999,"Birniehill, Kelvin and Whitehills East - 05",460
http://statistics.gov.scot/id/statistical-geography/S01013000,"Birniehill, Kelvin and Whitehills East - 06",654
http://statistics.gov.scot/id/statistical-geography/S01008087,Bishopbriggs North and Kenmure - 01,796
http://statistics.gov.scot/id/statistical-geography/S01008088,Bishopbriggs North and Kenmure - 02,863
http://statistics.gov.scot/id/statistical-geography/S01008089,Bishopbriggs North and Kenmure - 03,629
http://statistics.gov.scot/id/statistical-geography/S01008090,Bishopbriggs North and Kenmure - 04,745
http://statistics.gov.scot/id/statistical-geography/S01008091,Bishopbriggs North and Kenmure - 05,345
http://statistics.gov.scot/id/statistical-geography/S01008092,Bishopbriggs North and Kenmure - 06,909
http://statistics.gov.scot/id/statistical-geography/S01008093,Bishopbriggs North and Kenmure - 07,813
http://statistics.gov.scot/id/statistical-geography/S01008094,Bishopbriggs West and Cadder - 01,1466
http://statistics.gov.scot/id/statistical-geography/S01008095,Bishopbriggs West and Cadder - 02,705
http://statistics.gov.scot/id/statistical-geography/S01008096,Bishopbriggs West and Cadder - 03,737
http://statistics.gov.scot/id/statistical-geography/S01008097,Bishopbriggs West and Cadder - 04,604
http://statistics.gov.scot/id/statistical-geography/S01008098,Bishopbriggs West and Cadder - 05,740
http://statistics.gov.scot/id/statistical-geography/S01008099,Bishopbriggs West and Cadder - 06,522
http://statistics.gov.scot/id/statistical-geography/S01008100,Bishopbriggs West and Cadder - 07,898
http://statistics.gov.scot/id/statistical-geography/S01008101,Bishopbriggs West and Cadder - 08,842
http://statistics.gov.scot/id/statistical-geography/S01012211,Bishopton - 01,856
http://statistics.gov.scot/id/statistical-geography/S01012212,Bishopton - 02,705
http://statistics.gov.scot/id/statistical-geography/S01012213,Bishopton - 03,764
http://statistics.gov.scot/id/statistical-geography/S01012214,Bishopton - 04,681
http://statistics.gov.scot/id/statistical-geography/S01012215,Bishopton - 05,738
http://statistics.gov.scot/id/statistical-geography/S01012216,Bishopton - 06,656
http://statistics.gov.scot/id/statistical-geography/S01010727,Black Isle North - 01,653
http://statistics.gov.scot/id/statistical-geography/S01010728,Black Isle North - 02,529
http://statistics.gov.scot/id/statistical-geography/S01010729,Black Isle North - 03,702
http://statistics.gov.scot/id/statistical-geography/S01010730,Black Isle North - 04,872
http://statistics.gov.scot/id/statistical-geography/S01010731,Black Isle North - 05,825
http://statistics.gov.scot/id/statistical-geography/S01010719,Black Isle South - 01,643
http://statistics.gov.scot/id/statistical-geography/S01010720,Black Isle South - 02,1024
http://statistics.gov.scot/id/statistical-geography/S01010721,Black Isle South - 03,643
http://statistics.gov.scot/id/statistical-geography/S01010722,Black Isle South - 04,866
http://statistics.gov.scot/id/statistical-geography/S01010723,Black Isle South - 05,910
http://statistics.gov.scot/id/statistical-geography/S01010724,Black Isle South - 06,904
http://statistics.gov.scot/id/statistical-geography/S01010725,Black Isle South - 07,973
http://statistics.gov.scot/id/statistical-geography/S01010726,Black Isle South - 08,903
http://statistics.gov.scot/id/statistical-geography/S01006925,Blackburn - 01,455
http://statistics.gov.scot/id/statistical-geography/S01013357,Blackburn - 01,1038
http://statistics.gov.scot/id/statistical-geography/S01006926,Blackburn - 02,782
http://statistics.gov.scot/id/statistical-geography/S01013358,Blackburn - 02,873
http://statistics.gov.scot/id/statistical-geography/S01006927,Blackburn - 03,1175
http://statistics.gov.scot/id/statistical-geography/S01013359,Blackburn - 03,605
http://statistics.gov.scot/id/statistical-geography/S01006928,Blackburn - 04,1030
http://statistics.gov.scot/id/statistical-geography/S01013360,Blackburn - 04,688
http://statistics.gov.scot/id/statistical-geography/S01013361,Blackburn - 05,549
http://statistics.gov.scot/id/statistical-geography/S01013362,Blackburn - 06,489
http://statistics.gov.scot/id/statistical-geography/S01013363,Blackburn - 07,801
http://statistics.gov.scot/id/statistical-geography/S01009496,Blackcraigs and West Torbain,733
http://statistics.gov.scot/id/statistical-geography/S01008587,"Blackford, West Mains and Mayfield Road - 01",1176
http://statistics.gov.scot/id/statistical-geography/S01008588,"Blackford, West Mains and Mayfield Road - 02",878
http://statistics.gov.scot/id/statistical-geography/S01008589,"Blackford, West Mains and Mayfield Road - 03",416
http://statistics.gov.scot/id/statistical-geography/S01008590,"Blackford, West Mains and Mayfield Road - 04",835
http://statistics.gov.scot/id/statistical-geography/S01008591,"Blackford, West Mains and Mayfield Road - 05",850
http://statistics.gov.scot/id/statistical-geography/S01008592,"Blackford, West Mains and Mayfield Road - 06",920
http://statistics.gov.scot/id/statistical-geography/S01008593,"Blackford, West Mains and Mayfield Road - 07",738
http://statistics.gov.scot/id/statistical-geography/S01008594,"Blackford, West Mains and Mayfield Road - 08",1144
http://statistics.gov.scot/id/statistical-geography/S01008892,Blackhall - 01,972
http://statistics.gov.scot/id/statistical-geography/S01008893,Blackhall - 02,932
http://statistics.gov.scot/id/statistical-geography/S01008894,Blackhall - 03,882
http://statistics.gov.scot/id/statistical-geography/S01008895,Blackhall - 04,894
http://statistics.gov.scot/id/statistical-geography/S01008896,Blackhall - 05,722
http://statistics.gov.scot/id/statistical-geography/S01008897,Blackhall - 06,730
http://statistics.gov.scot/id/statistical-geography/S01008898,Blackhall - 07,851
http://statistics.gov.scot/id/statistical-geography/S01010179,Blackhill and Barmulloch East - 01,796
http://statistics.gov.scot/id/statistical-geography/S01010180,Blackhill and Barmulloch East - 02,780
http://statistics.gov.scot/id/statistical-geography/S01010181,Blackhill and Barmulloch East - 03,617
http://statistics.gov.scot/id/statistical-geography/S01010182,Blackhill and Barmulloch East - 04,653
http://statistics.gov.scot/id/statistical-geography/S01010183,Blackhill and Barmulloch East - 05,477
http://statistics.gov.scot/id/statistical-geography/S01010184,Blackhill and Barmulloch East - 06,585
http://statistics.gov.scot/id/statistical-geography/S01010185,Blackhill and Barmulloch East - 07,700
http://statistics.gov.scot/id/statistical-geography/S01009258,"Blackness, Bo'ness - Carriden and Grahamsdyke - 01",816
http://statistics.gov.scot/id/statistical-geography/S01009259,"Blackness, Bo'ness - Carriden and Grahamsdyke - 02",916
http://statistics.gov.scot/id/statistical-geography/S01009260,"Blackness, Bo'ness - Carriden and Grahamsdyke - 03",1128
http://statistics.gov.scot/id/statistical-geography/S01009261,"Blackness, Bo'ness - Carriden and Grahamsdyke - 04",731
http://statistics.gov.scot/id/statistical-geography/S01009262,"Blackness, Bo'ness - Carriden and Grahamsdyke - 05",594
http://statistics.gov.scot/id/statistical-geography/S01009263,"Blackness, Bo'ness - Carriden and Grahamsdyke - 06",806
http://statistics.gov.scot/id/statistical-geography/S01013429,"Blackridge, Westfield and Torphichen - 01",747
http://statistics.gov.scot/id/statistical-geography/S01013430,"Blackridge, Westfield and Torphichen - 02",682
http://statistics.gov.scot/id/statistical-geography/S01013431,"Blackridge, Westfield and Torphichen - 03",649
http://statistics.gov.scot/id/statistical-geography/S01013432,"Blackridge, Westfield and Torphichen - 04",778
http://statistics.gov.scot/id/statistical-geography/S01013433,"Blackridge, Westfield and Torphichen - 05",817
http://statistics.gov.scot/id/statistical-geography/S01013364,Blaeberry Hill and East Whitburn - 01,890
http://statistics.gov.scot/id/statistical-geography/S01013365,Blaeberry Hill and East Whitburn - 02,776
http://statistics.gov.scot/id/statistical-geography/S01013366,Blaeberry Hill and East Whitburn - 03,811
http://statistics.gov.scot/id/statistical-geography/S01013367,Blaeberry Hill and East Whitburn - 04,549
http://statistics.gov.scot/id/statistical-geography/S01013368,Blaeberry Hill and East Whitburn - 05,778
http://statistics.gov.scot/id/statistical-geography/S01013369,Blaeberry Hill and East Whitburn - 06,844
http://statistics.gov.scot/id/statistical-geography/S01013370,Blaeberry Hill and East Whitburn - 07,702
http://statistics.gov.scot/id/statistical-geography/S01013371,Blaeberry Hill and East Whitburn - 08,643
http://statistics.gov.scot/id/statistical-geography/S01012297,Blainslie and Legerwood,632
http://statistics.gov.scot/id/statistical-geography/S01011979,"Blair Atholl, Strathardle and Glenshee - 01",1016
http://statistics.gov.scot/id/statistical-geography/S01011980,"Blair Atholl, Strathardle and Glenshee - 02",458
http://statistics.gov.scot/id/statistical-geography/S01011981,"Blair Atholl, Strathardle and Glenshee - 03",893
http://statistics.gov.scot/id/statistical-geography/S01011982,"Blair Atholl, Strathardle and Glenshee - 04",926
http://statistics.gov.scot/id/statistical-geography/S01011983,"Blair Atholl, Strathardle and Glenshee - 05",747
http://statistics.gov.scot/id/statistical-geography/S01010478,Blairdardie East - 01,961
http://statistics.gov.scot/id/statistical-geography/S01010479,Blairdardie East - 02,1048
http://statistics.gov.scot/id/statistical-geography/S01010480,Blairdardie East - 03,569
http://statistics.gov.scot/id/statistical-geography/S01010481,Blairdardie East - 04,622
http://statistics.gov.scot/id/statistical-geography/S01010482,Blairdardie East - 05,815
http://statistics.gov.scot/id/statistical-geography/S01010483,Blairdardie East - 06,1013
http://statistics.gov.scot/id/statistical-geography/S01010484,Blairdardie East - 07,572
http://statistics.gov.scot/id/statistical-geography/S01010485,Blairdardie West - 01,1007
http://statistics.gov.scot/id/statistical-geography/S01010486,Blairdardie West - 02,919
http://statistics.gov.scot/id/statistical-geography/S01010487,Blairdardie West - 03,1024
http://statistics.gov.scot/id/statistical-geography/S01011984,Blairgowrie East (Rattray) - 01,665
http://statistics.gov.scot/id/statistical-geography/S01011985,Blairgowrie East (Rattray) - 02,667
http://statistics.gov.scot/id/statistical-geography/S01011986,Blairgowrie East (Rattray) - 03,610
http://statistics.gov.scot/id/statistical-geography/S01011987,Blairgowrie East (Rattray) - 04,1031
http://statistics.gov.scot/id/statistical-geography/S01011988,Blairgowrie West - 01,650
http://statistics.gov.scot/id/statistical-geography/S01011989,Blairgowrie West - 02,846
http://statistics.gov.scot/id/statistical-geography/S01011990,Blairgowrie West - 03,910
http://statistics.gov.scot/id/statistical-geography/S01011991,Blairgowrie West - 04,714
http://statistics.gov.scot/id/statistical-geography/S01011992,Blairgowrie West - 05,899
http://statistics.gov.scot/id/statistical-geography/S01011993,Blairgowrie West - 06,797
http://statistics.gov.scot/id/statistical-geography/S01011994,Blairgowrie West - 07,853
http://statistics.gov.scot/id/statistical-geography/S01009268,Blairhall and Landward,1053
http://statistics.gov.scot/id/statistical-geography/S01013001,Blane Valley - 01,379
http://statistics.gov.scot/id/statistical-geography/S01013002,Blane Valley - 02,567
http://statistics.gov.scot/id/statistical-geography/S01013003,Blane Valley - 03,668
http://statistics.gov.scot/id/statistical-geography/S01013004,Blane Valley - 04,663
http://statistics.gov.scot/id/statistical-geography/S01013005,Blane Valley - 05,746
http://statistics.gov.scot/id/statistical-geography/S01013006,Blane Valley - 06,682
http://statistics.gov.scot/id/statistical-geography/S01013007,Blane Valley - 07,900
http://statistics.gov.scot/id/statistical-geography/S01013008,Blane Valley - 08,805
http://statistics.gov.scot/id/statistical-geography/S01012759,Blantyre South and Wheatlands - 01,725
http://statistics.gov.scot/id/statistical-geography/S01012760,Blantyre South and Wheatlands - 02,1041
http://statistics.gov.scot/id/statistical-geography/S01012761,Blantyre South and Wheatlands - 03,687
http://statistics.gov.scot/id/statistical-geography/S01012762,Blantyre South and Wheatlands - 04,655
http://statistics.gov.scot/id/statistical-geography/S01012763,Blantyre South and Wheatlands - 05,366
http://statistics.gov.scot/id/statistical-geography/S01012764,Blantyre South and Wheatlands - 06,741
http://statistics.gov.scot/id/statistical-geography/S01012770,Blantytre North and Coatshill - 01,857
http://statistics.gov.scot/id/statistical-geography/S01012771,Blantytre North and Coatshill - 02,647
http://statistics.gov.scot/id/statistical-geography/S01012772,Blantytre North and Coatshill - 03,636
http://statistics.gov.scot/id/statistical-geography/S01012773,Blantytre North and Coatshill - 04,829
http://statistics.gov.scot/id/statistical-geography/S01009243,Bo'ness - Douglas - 01,929
http://statistics.gov.scot/id/statistical-geography/S01009244,Bo'ness - Douglas - 02,759
http://statistics.gov.scot/id/statistical-geography/S01009245,Bo'ness - Douglas - 03,796
http://statistics.gov.scot/id/statistical-geography/S01009246,Bo'ness - Douglas - 04,809
http://statistics.gov.scot/id/statistical-geography/S01009247,Bo'ness - Douglas - 05,992
http://statistics.gov.scot/id/statistical-geography/S01009253,Bo'ness - Kinneil - 01,474
http://statistics.gov.scot/id/statistical-geography/S01009254,Bo'ness - Kinneil - 02,808
http://statistics.gov.scot/id/statistical-geography/S01009255,Bo'ness - Kinneil - 03,654
http://statistics.gov.scot/id/statistical-geography/S01009256,Bo'ness - Kinneil - 04,467
http://statistics.gov.scot/id/statistical-geography/S01009257,Bo'ness - Kinneil - 05,708
http://statistics.gov.scot/id/statistical-geography/S01009248,Bo'ness - Newtown - 01,658
http://statistics.gov.scot/id/statistical-geography/S01009249,Bo'ness - Newtown - 02,854
http://statistics.gov.scot/id/statistical-geography/S01009250,Bo'ness - Newtown - 03,592
http://statistics.gov.scot/id/statistical-geography/S01009251,Bo'ness - Newtown - 04,499
http://statistics.gov.scot/id/statistical-geography/S01009252,Bo'ness - Newtown - 05,475
http://statistics.gov.scot/id/statistical-geography/S01009715,Boarhills and Kingsbarns,656
http://statistics.gov.scot/id/statistical-geography/S01008438,Bonaly and The Pentlands - 01,702
http://statistics.gov.scot/id/statistical-geography/S01008439,Bonaly and The Pentlands - 02,1196
http://statistics.gov.scot/id/statistical-geography/S01008440,Bonaly and The Pentlands - 03,1011
http://statistics.gov.scot/id/statistical-geography/S01008441,Bonaly and The Pentlands - 04,480
http://statistics.gov.scot/id/statistical-geography/S01008442,Bonaly and The Pentlands - 05,732
http://statistics.gov.scot/id/statistical-geography/S01008443,Bonaly and The Pentlands - 06,620
http://statistics.gov.scot/id/statistical-geography/S01012358,Bonchester Bridge and Chesters Area,743
http://statistics.gov.scot/id/statistical-geography/S01008817,Bonnington - 01,867
http://statistics.gov.scot/id/statistical-geography/S01008818,Bonnington - 02,1025
http://statistics.gov.scot/id/statistical-geography/S01008819,Bonnington - 03,747
http://statistics.gov.scot/id/statistical-geography/S01008820,Bonnington - 04,1143
http://statistics.gov.scot/id/statistical-geography/S01009661,Bonnybank and Montrave,879
http://statistics.gov.scot/id/statistical-geography/S01009077,Bonnybridge - 01,607
http://statistics.gov.scot/id/statistical-geography/S01009078,Bonnybridge - 02,817
http://statistics.gov.scot/id/statistical-geography/S01009079,Bonnybridge - 03,860
http://statistics.gov.scot/id/statistical-geography/S01009080,Bonnybridge - 04,898
http://statistics.gov.scot/id/statistical-geography/S01009081,Bonnybridge - 05,618
http://statistics.gov.scot/id/statistical-geography/S01009082,Bonnybridge - 06,1051
http://statistics.gov.scot/id/statistical-geography/S01010978,Bonnyrigg North - 01,756
http://statistics.gov.scot/id/statistical-geography/S01010979,Bonnyrigg North - 02,881
http://statistics.gov.scot/id/statistical-geography/S01010980,Bonnyrigg North - 03,724
http://statistics.gov.scot/id/statistical-geography/S01010981,Bonnyrigg North - 04,696
http://statistics.gov.scot/id/statistical-geography/S01010982,Bonnyrigg North - 05,1290
http://statistics.gov.scot/id/statistical-geography/S01010983,Bonnyrigg North - 06,724
http://statistics.gov.scot/id/statistical-geography/S01010984,Bonnyrigg North - 07,656
http://statistics.gov.scot/id/statistical-geography/S01010971,Bonnyrigg South - 01,1067
http://statistics.gov.scot/id/statistical-geography/S01010972,Bonnyrigg South - 02,816
http://statistics.gov.scot/id/statistical-geography/S01010973,Bonnyrigg South - 03,485
http://statistics.gov.scot/id/statistical-geography/S01010974,Bonnyrigg South - 04,651
http://statistics.gov.scot/id/statistical-geography/S01010975,Bonnyrigg South - 05,483
http://statistics.gov.scot/id/statistical-geography/S01010976,Bonnyrigg South - 06,531
http://statistics.gov.scot/id/statistical-geography/S01010977,Bonnyrigg South - 07,685
http://statistics.gov.scot/id/statistical-geography/S01008012,Bonnyton and Town Centre - 01,848
http://statistics.gov.scot/id/statistical-geography/S01008013,Bonnyton and Town Centre - 02,736
http://statistics.gov.scot/id/statistical-geography/S01008014,Bonnyton and Town Centre - 03,619
http://statistics.gov.scot/id/statistical-geography/S01008015,Bonnyton and Town Centre - 04,936
http://statistics.gov.scot/id/statistical-geography/S01008016,Bonnyton and Town Centre - 05,741
http://statistics.gov.scot/id/statistical-geography/S01013054,Borestone - 01,638
http://statistics.gov.scot/id/statistical-geography/S01013055,Borestone - 02,720
http://statistics.gov.scot/id/statistical-geography/S01013056,Borestone - 03,1069
http://statistics.gov.scot/id/statistical-geography/S01013057,Borestone - 04,936
http://statistics.gov.scot/id/statistical-geography/S01013058,Borestone - 05,653
http://statistics.gov.scot/id/statistical-geography/S01008909,Boswall and Pilton - 01,756
http://statistics.gov.scot/id/statistical-geography/S01008910,Boswall and Pilton - 02,530
http://statistics.gov.scot/id/statistical-geography/S01008911,Boswall and Pilton - 03,1379
http://statistics.gov.scot/id/statistical-geography/S01008912,Boswall and Pilton - 04,778
http://statistics.gov.scot/id/statistical-geography/S01008913,Boswall and Pilton - 05,718
http://statistics.gov.scot/id/statistical-geography/S01008914,Boswall and Pilton - 06,918
http://statistics.gov.scot/id/statistical-geography/S01008915,Boswall and Pilton - 07,565
http://statistics.gov.scot/id/statistical-geography/S01012803,Bothwell North - 01,600
http://statistics.gov.scot/id/statistical-geography/S01012804,Bothwell North - 02,727
http://statistics.gov.scot/id/statistical-geography/S01012805,Bothwell North - 03,928
http://statistics.gov.scot/id/statistical-geography/S01012806,Bothwell North - 04,874
http://statistics.gov.scot/id/statistical-geography/S01012798,Bothwell South - 01,727
http://statistics.gov.scot/id/statistical-geography/S01012799,Bothwell South - 02,771
http://statistics.gov.scot/id/statistical-geography/S01012800,Bothwell South - 03,872
http://statistics.gov.scot/id/statistical-geography/S01012801,Bothwell South - 04,432
http://statistics.gov.scot/id/statistical-geography/S01012802,Bothwell South - 05,534
http://statistics.gov.scot/id/statistical-geography/S01010878,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 01",1146
http://statistics.gov.scot/id/statistical-geography/S01010879,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 02",736
http://statistics.gov.scot/id/statistical-geography/S01010880,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 03",438
http://statistics.gov.scot/id/statistical-geography/S01010881,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 04",561
http://statistics.gov.scot/id/statistical-geography/S01010882,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 05",461
http://statistics.gov.scot/id/statistical-geography/S01010883,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 06",807
http://statistics.gov.scot/id/statistical-geography/S01009684,Bow of Fife Tarvit and Balgarvie,1139
http://statistics.gov.scot/id/statistical-geography/S01012377,Bowden and Lindean Area,640
http://statistics.gov.scot/id/statistical-geography/S01009441,Bowhill East,772
http://statistics.gov.scot/id/statistical-geography/S01009440,Bowhill West,671
http://statistics.gov.scot/id/statistical-geography/S01009437,Bowhill and Dundonald,610
http://statistics.gov.scot/id/statistical-geography/S01013064,Braehead - 01,837
http://statistics.gov.scot/id/statistical-geography/S01013065,Braehead - 02,849
http://statistics.gov.scot/id/statistical-geography/S01013066,Braehead - 03,774
http://statistics.gov.scot/id/statistical-geography/S01009526,Braehead and the Path,663
http://statistics.gov.scot/id/statistical-geography/S01009184,Braes Villages - 01,845
http://statistics.gov.scot/id/statistical-geography/S01009185,Braes Villages - 02,911
